index,condition,subtype,latency_seconds
0,image,lookup,2.5954000370002177
0,no_image,lookup,0.11203542799967181
1,image,compositional,0.21765477400003874
1,no_image,compositional,0.28599662999977227
2,image,lookup,0.1164602889998605
2,no_image,lookup,0.09909855800015066
3,image,compositional,0.11656777600001078
3,no_image,compositional,0.06775284900004408
4,image,compositional,0.14995646300030785
4,no_image,compositional,0.0667745810001179
5,image,compositional,0.1337715679997018
5,no_image,compositional,0.5145196919997943
6,image,lookup,0.13758017699956326
6,no_image,lookup,0.10075615699997797
7,image,compositional,0.10283763000006729
7,no_image,compositional,0.06810344499990606
8,image,lookup,0.17230992900022102
8,no_image,lookup,0.06871961400020155
9,image,compositional,0.1654937449998215
9,no_image,compositional,0.0683997090000048
10,image,lookup,0.1153239370000847
10,no_image,lookup,0.0683072310002899
11,image,compositional,0.2122876600001291
11,no_image,compositional,0.10016413699986515
12,image,lookup,0.13444816500032175
12,no_image,lookup,0.13149926699998105
13,image,compositional,0.1991979029999129
13,no_image,compositional,0.1323589759999777
14,image,lookup,0.10363557199980278
14,no_image,lookup,0.09957222499997442
15,image,lookup,0.13737973000024795
15,no_image,lookup,0.164358995999919
16,image,lookup,0.21271489599985216
16,no_image,lookup,0.3241284209998412
17,image,lookup,0.21980654800017874
17,no_image,lookup,0.5135301370000889
18,image,lookup,0.11912095600018802
18,no_image,lookup,0.06848265099961282
19,image,compositional,0.11917634400015231
19,no_image,compositional,0.0689703810003266
20,image,lookup,0.5672970629998417
20,no_image,lookup,0.13247291899961056
21,image,lookup,0.2208030450001388
21,no_image,lookup,0.16295270799992068
22,image,lookup,0.15328784900020764
22,no_image,lookup,0.10423859100001209
23,image,compositional,0.22060081400013587
23,no_image,compositional,0.13251051099996403
24,image,yesno,0.10433402700027727
24,no_image,yesno,0.06824997999956395
25,image,compositional,0.1009538620000967
25,no_image,compositional,0.06839657099999386
26,image,lookup,0.13874589699980788
26,no_image,lookup,0.10158208499979082
27,image,compositional,0.1353684420000718
27,no_image,compositional,0.13677975700011302
28,image,lookup,0.13579781699991145
28,no_image,lookup,0.29044660699992164
29,image,compositional,0.13719325100009883
29,no_image,compositional,0.5077302449999479
30,image,lookup,0.15447011300011582
30,no_image,lookup,0.10040731599974606
31,image,lookup,0.11869855199984158
31,no_image,lookup,0.06933679399980974
32,image,lookup,0.1400836220000201
32,no_image,lookup,0.06846165699971607
33,image,compositional,0.10288706899973477
33,no_image,compositional,0.06850807599994369
34,image,compositional,0.1167452670001694
34,no_image,compositional,0.09911360500018418
35,image,lookup,0.11453360399991652
35,no_image,lookup,0.5042048760001308
36,image,compositional,0.13901441100006195
36,no_image,compositional,0.09885879499961447
37,image,compositional,0.1352988280000318
37,no_image,compositional,0.10055623000016567
38,image,lookup,0.10483893100035857
38,no_image,lookup,0.07018911799968919
39,image,compositional,0.1351708989996041
39,no_image,compositional,0.3540616750001391
40,image,lookup,0.1465413709997847
40,no_image,lookup,0.06891500099982295
41,image,lookup,0.1481712830000106
41,no_image,lookup,0.06882784400022501
42,image,lookup,0.1996047349998662
42,no_image,lookup,0.09950821099982932
43,image,lookup,0.13163955799973337
43,no_image,lookup,0.09873447300014959
44,image,lookup,0.20329444000026342
44,no_image,lookup,0.16531483199969443
45,image,compositional,0.2314784220002366
45,no_image,compositional,0.13215483099975245
46,image,lookup,0.13724458800015782
46,no_image,lookup,0.10016762500026744
47,image,compositional,0.1995303519997833
47,no_image,compositional,0.16354285700026594
48,image,lookup,0.13841745499985336
48,no_image,lookup,0.09992818799992165
49,image,compositional,0.42076490699992064
49,no_image,compositional,0.19549285800030702
50,image,lookup,0.10541125400004603
50,no_image,lookup,0.3518167520001043
51,image,lookup,0.10354357599999275
51,no_image,lookup,0.06863467399989531
52,image,yesno,0.10386538900002051
52,no_image,yesno,0.06966678300022977
53,image,compositional,0.10353041600001234
53,no_image,compositional,0.06726883500004988
54,image,yesno,0.10267115799979365
54,no_image,yesno,0.06790365000006204
55,image,compositional,0.2566270550000809
55,no_image,compositional,0.12977722000005087
56,image,compositional,0.1339464429997861
56,no_image,compositional,0.1019010619997971
57,image,lookup,0.13478625799962174
57,no_image,lookup,0.10192772500022329
58,image,lookup,0.15773018499976388
58,no_image,lookup,0.0672700159998385
59,image,compositional,0.21421581100003095
59,no_image,compositional,0.5220530779997716
60,image,lookup,0.13405835999992632
60,no_image,lookup,0.06757930300000226
61,image,compositional,0.13212040300004446
61,no_image,compositional,0.09941423600002963
62,image,lookup,0.10312285899999551
62,no_image,lookup,0.10273187600023448
63,image,compositional,0.1350001779997001
63,no_image,compositional,0.16950827399978152
64,image,lookup,0.13733230400021057
64,no_image,lookup,0.10050005399989459
65,image,compositional,0.42574835300001723
65,no_image,compositional,0.1304545269999835
66,image,lookup,0.19969298300020455
66,no_image,lookup,0.1303584059996865
67,image,lookup,0.1980363100001341
67,no_image,lookup,0.06794293699977061
68,image,lookup,0.18564924900010737
68,no_image,lookup,0.1308072080000784
69,image,compositional,0.12139538200017341
69,no_image,compositional,0.06942346599998928
70,image,lookup,0.24762378300010823
70,no_image,lookup,0.09969621600021128
71,image,compositional,0.24711430200022733
71,no_image,compositional,0.13182444099993518
72,image,yesno,0.15601045899984456
72,no_image,yesno,0.06798059099992315
73,image,compositional,0.18233247699981803
73,no_image,compositional,0.09981135399993946
74,image,lookup,0.27598463799995443
74,no_image,lookup,0.09930880599995362
75,image,compositional,0.24788735999982237
75,no_image,compositional,0.10124716699965575
76,image,compositional,0.1666648109999187
76,no_image,compositional,0.10019278900017525
77,image,compositional,0.10109453300037785
77,no_image,compositional,0.0682574439997552
78,image,lookup,0.16664394200006427
78,no_image,lookup,0.06752824499972121
79,image,compositional,0.1030553380001038
79,no_image,compositional,0.10080907699966701
80,image,lookup,0.13280050499997742
80,no_image,lookup,0.09973224699979255
81,image,compositional,0.4200869829996918
81,no_image,compositional,0.1311340239999481
82,image,lookup,0.19932307699991725
82,no_image,lookup,0.09934135100002095
83,image,compositional,0.22923304799996913
83,no_image,compositional,0.10279858900003092
84,image,lookup,0.20025854400000753
84,no_image,lookup,0.06949661999988166
85,image,compositional,0.19955019700000776
85,no_image,compositional,0.13126762100000633
86,image,lookup,0.32838376799963953
86,no_image,lookup,0.13327338399994915
87,image,compositional,0.16697474100010368
87,no_image,compositional,0.06845458499992674
88,image,lookup,0.1758588820002842
88,no_image,lookup,0.10543905399981668
89,image,compositional,0.4534912300000542
89,no_image,compositional,0.13371303599979
90,image,lookup,0.18091503299956457
90,no_image,lookup,0.06860222599971166
91,image,compositional,0.11706984800002829
91,no_image,compositional,0.06974180199995317
92,image,lookup,0.13628845699986414
92,no_image,lookup,0.10038509200012413
93,image,compositional,0.19941181800004415
93,no_image,compositional,0.26769406199991863
94,image,compositional,0.18685155100001793
94,no_image,compositional,0.10232536700004857
95,image,lookup,0.18466572299985273
95,no_image,lookup,0.13328722100004597
96,image,compositional,0.13730497899996408
96,no_image,compositional,0.1101892520000547
97,image,lookup,0.14276224500008539
97,no_image,lookup,0.10637386300004437
98,image,lookup,0.2806205800002317
98,no_image,lookup,0.2269116759998724
99,image,compositional,0.18323029799967117
99,no_image,compositional,0.48108282699968186
